Entry,Name,Processing condition,,Cluster Number (0 to 11),,Al,Cu,Mn,N,Ni,Ti,S,Fe,Zr,P,Si,V,Mo,Co,C,Nb,B,Cr,,(Ultimate) Tensile strength (MPa),Yield strength (MPa),Ductility (%),,Cluster Number,Cluster label
283,AISI 4320H Steel,"Single Quenched And Tempered: (Carburized 925C (1700F) For 8 Hrs., Pot Cooled, Reheated To 830C (1525F), Quenched In Agitated Oil, 230C (450F) Temper); 1.9 mm Case Depth",,5,,0,0,0.55,0,1.775,0,0.04,96.425,0,0.035,0.225,0,0.25,0,0.2,0,0,0.5,,1460,1195,12,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
284,AISI 4419 Steel,"Direct Quenched From Pot, 150C (300F) Temper",,5,,0,0,0.55,0,0,0,0.04,98.395,0,0.035,0.25,0,0.525,0,0.205,0,0,0,,831,608,19,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
285,AISI E4340 H Steel,"Normalized, 100 mm (4 In.) Round",,9,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1110,710,13,,9,Normalized – general-purpose steel (round normalized stock)
286,AISI 4340 Steel,"Oil Quenched 800C (1470F), 595C (1100F) Temper, 100 mm (4 In.) Round",,6,,0,0,0.7,0,1.825,0,0.04,95.725,0,0.035,0.225,0,0.25,0,0.4,0,0,0.8,,924,786,19,,6,Quenched (oil) & tempered – high-strength structural steel
287,AISI 4320 Steel,"Normalized 925C (1700F) In 32 mm Rounds, Machined To 13.7 mm Rounds, Pseudocarburized 925C (1700F) For 8 Hrs., Oil Quenched, 150C (300F) Temper, Tested In 12.8 mm Rounds",,0,,0,0,0.55,0,1.825,0,0.04,96.38,0,0.035,0.225,0,0.25,0,0.195,0,0,0.5,,1240,1020,14,,0,Carburized – quenched (oil) – wear-resistant surface steel
288,AISI 4320H Steel,"Mock Carburized, Oil Quenched, 150C (300F) Temper, 25 mm Round",,8,,0,0,0.55,0,1.775,0,0.04,96.425,0,0.035,0.225,0,0.25,0,0.2,0,0,0.5,,1050,738,17,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
289,AISI 4340 Steel,"Oil Quenched 800C (1470F), 540C (1000F) Temper, 100 mm (4 In.) Round",,6,,0,0,0.7,0,1.825,0,0.04,95.725,0,0.035,0.225,0,0.25,0,0.4,0,0,0.8,,1138,1000,15,,6,Quenched (oil) & tempered – high-strength structural steel
290,AISI 4320H Steel,"Mock Carburized, Oil Quenched, 150C (300F) Temper, 50 mm (2 In.) Round",,8,,0,0,0.55,0,1.775,0,0.04,96.425,0,0.035,0.225,0,0.25,0,0.2,0,0,0.5,,910,595,22,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
291,AISI E4340 Steel,"Oil Quenched 800C (1470F), 650C (1200F) Temper, 50 mm (2 In.) Round",,6,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,931,834,20,,6,Quenched (oil) & tempered – high-strength structural steel
292,AISI 4340 Steel,"Oil Quenched 800C (1470F), 595C (1100F) Temper, 25 mm Round",,6,,0,0,0.7,0,1.825,0,0.04,95.725,0,0.035,0.225,0,0.25,0,0.4,0,0,0.8,,1138,1096,16,,6,Quenched (oil) & tempered – high-strength structural steel
293,AISI E4340 H Steel,"Oil Quenched 800C (1470F), 595C (1100F) Temper, 25 mm Round",,6,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1138,1096,16,,6,Quenched (oil) & tempered – high-strength structural steel
294,AISI 4340 Steel,"Oil Quenched 800C (1470F), 650C (1200F) Temper, 25 mm Round",,6,,0,0,0.7,0,1.825,0,0.04,95.725,0,0.035,0.225,0,0.25,0,0.4,0,0,0.8,,958,883,20,,6,Quenched (oil) & tempered – high-strength structural steel
295,AISI 4340 Steel,"Oil Quenched 800C (1470F), 540C (1000F) Temper, 25 mm Round",,6,,0,0,0.7,0,1.825,0,0.04,95.725,0,0.035,0.225,0,0.25,0,0.4,0,0,0.8,,1207,1145,14,,6,Quenched (oil) & tempered – high-strength structural steel
296,AISI E4340 Steel,Normalized 870C (1600F),,4,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1280,860,12,,4,Normalized (air cooled) – general-purpose steel
297,AISI 4130 Steel,"Water Quenched 855C (1570F), 480C (900F) Temper, 25 mm (1 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,1110,951,14,,10,Quenched (water) & tempered – high-strength structural steel
298,AISI E4340 Steel,"Oil Quenched 800C (1470F), 595C (1100F) Temper, 25 mm Round",,6,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1138,1096,16,,6,Quenched (oil) & tempered – high-strength structural steel
299,AISI E4340 Steel,"Oil Quenched 800C (1470F), 540C (1000F) Temper, 50 mm (2 In.) Round",,6,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1172,1103,16,,6,Quenched (oil) & tempered – high-strength structural steel
300,AISI E4340 H Steel,"Oil Quenched 800C (1470F), 595C (1100F) Temper, 100 mm Round",,6,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,924,786,19,,6,Quenched (oil) & tempered – high-strength structural steel
301,AISI 4320H Steel,"Normalized 925C (1700F), Pseudocarburized At 925C (1700F) For 8 Hrs., Reheated To 800C (1470F) And Oil Quenched, 150C (300F) Temper",,0,,0,0,0.55,0,1.775,0,0.04,96.425,0,0.035,0.225,0,0.25,0,0.2,0,0,0.5,,1025,848,15,,0,Carburized – quenched (oil) – wear-resistant surface steel
302,AISI 4320H Steel,"Normalized 925C (1700F) In 32 mm Rounds, Machined To 13.7 mm Rounds, Pseudocarburized At 925C (1700F) For 8 Hrs., Box Cooled To 20C, Oil Quenched, 150C (300F) Temper",,0,,0,0,0.55,0,1.775,0,0.04,96.425,0,0.035,0.225,0,0.25,0,0.2,0,0,0.5,,1240,1020,14,,0,Carburized – quenched (oil) – wear-resistant surface steel
303,AISI E4340 Steel,"Oil Quenched 800C (1470F), 650C (1200F) Temper, 100 mm (4 In.) Round",,6,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,855,731,21,,6,Quenched (oil) & tempered – high-strength structural steel
304,AISI 4340 Steel,"Oil Quenched 800C (1470F), 540C (1000F) Temper, 13 mm (0.5 In.) Round",,6,,0,0,0.7,0,1.825,0,0.04,95.725,0,0.035,0.225,0,0.25,0,0.4,0,0,0.8,,1255,1165,13,,6,Quenched (oil) & tempered – high-strength structural steel
305,AISI 4422 Steel,"Heat Treated In 25 mm Rounds, Reheated To 870C (1600F), 150C (300F) Temper",,0,,0,0,0.75,0,0,0,0.04,98.325,0,0.035,0.225,0,0.4,0,0.225,0,0,0,,827,540,20,,0,Carburized – quenched (oil) – wear-resistant surface steel
306,AISI E4340 Steel,"Oil Quenched 845C, 650C (1200F) Temper",,6,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1005,938,20,,6,Quenched (oil) & tempered – high-strength structural steel
307,AISI E4340 H Steel,"Oil Quenched 845C, 425C (800F) Temper",,6,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1595,1475,12,,6,Quenched (oil) & tempered – high-strength structural steel
308,AISI E4340 Steel,"Normalized, 25 mm Round",,9,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1282,862,12,,9,Normalized – general-purpose steel (round normalized stock)
309,AISI 4320 Steel,"Normalized 895C (1640F), Air Cooled, 13 mm (0.5 In.) Round",,4,,0,0,0.55,0,1.825,0,0.04,96.38,0,0.035,0.225,0,0.25,0,0.195,0,0,0.5,,841,510,23,,4,Normalized (air cooled) – general-purpose steel
310,AISI E4340 Steel,"Oil Quenched 800C (1470F), 595C (1100F) Temper, 100 mm (4 In.) Round",,6,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,924,786,19,,6,Quenched (oil) & tempered – high-strength structural steel
311,AISI 4419 Steel,"Single Quenched, 230C (450F) Temper",,5,,0,0,0.55,0,0,0,0.04,98.395,0,0.035,0.25,0,0.525,0,0.205,0,0,0,,708,431,24,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
312,AISI 4320 Steel,"Single Quenched And Tempered (Carburized 925C (1700F) For 8Hrs, Pot Cooled, Reheated To 830C (1525F), Quenched In Agitated Oil, 150C (300F) Temper)",,5,,0,0,0.55,0,1.825,0,0.04,96.38,0,0.035,0.225,0,0.25,0,0.195,0,0,0.5,,1505,1225,13,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
313,AISI 4320 Steel,"Annealed (Heated To 850C (1560F), Furnace Cooled 15C/Hr. To 420C, Air Cooled), 25 mm (1 In.) Round",,7,,0,0,0.55,0,1.825,0,0.04,96.38,0,0.035,0.225,0,0.25,0,0.195,0,0,0.5,,580,425,29,,7,Annealed – easy-to-machine – round annealed stock
314,AISI 4427 Steel,"Heat Treated In 13.7 mm Rounds, Reheated To 805C (1480F), 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.235,0,0.035,0.225,0,0.4,0,0.265,0,0,0,,924,724,14,,0,Carburized – quenched (oil) – wear-resistant surface steel
315,AISI E4340 Steel,Annealed 810C,,7,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,745,475,22,,7,Annealed – easy-to-machine – round annealed stock
316,AISI 4419H Steel,"Direct Quenched From Pot And Tempered, 150C (300F)",,5,,0,0,0.55,0,0,0,0.04,98.4,0,0.035,0.25,0,0.525,0,0.2,0,0,0,,831,608,19,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
317,AISI E4340 Steel,"Annealed, 25 mm Round",,3,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,745,470,22,,3,Normalized – easy-to-machine stock (cold drawn)
318,AISI E4340 H Steel,"Oil Quenched 800C (1470F), 595C (1100F) Temper, 50 mm (2 In.) Round",,6,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1014,958,19,,6,Quenched (oil) & tempered – high-strength structural steel
319,AISI 4118H Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 50 mm (2 In.) Round",,8,,0,0,0.8,0,0,0,0.04,98.085,0,0.035,0.225,0,0.115,0,0.2,0,0,0.5,,669,317,26,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
320,AISI 4419H Steel,"Normalized At 955C (1750F), 14 mm (0.55 In.) Round",,4,,0,0,0.55,0,0,0,0.04,98.4,0,0.035,0.25,0,0.525,0,0.2,0,0,0,,540,360,33,,4,Normalized (air cooled) – general-purpose steel
321,AISI 4150 Steel,"Oil Quenched 830C (1525F), 595C (1100F) Temper, 25 mm (1 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.17,0,0.035,0.225,0,0.2,0,0.505,0,0,0.95,,1145,1034,15,,6,Quenched (oil) & tempered – high-strength structural steel
322,AISI 4419H Steel,"Mock Carburized, 150C (300F) Temper, 25 mm (1 In.) Round",,8,,0,0,0.55,0,0,0,0.04,98.4,0,0.035,0.25,0,0.525,0,0.2,0,0,0,,670,435,24,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
323,AISI 4620 Steel,"Mock Carburized, 150C (300F) Temper, 13 mm (0.5 In.) Round",,8,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,876,620,20,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
324,AISI 4419H Steel,"Normalized At 955C (1750F), 50 mm (2 In.) Round",,4,,0,0,0.55,0,0,0,0.04,98.4,0,0.035,0.25,0,0.525,0,0.2,0,0,0,,495,345,30,,4,Normalized (air cooled) – general-purpose steel
325,AISI E4340 Steel,"Normalized, 50 mm (2 In.) Round",,9,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1220,786,13,,9,Normalized – general-purpose steel (round normalized stock)
326,AISI 4340 Steel,"Oil Quenched 800C (1470F), 650C (1200F) Temper, 13 mm (0.5 In.) Round",,6,,0,0,0.7,0,1.825,0,0.04,95.725,0,0.035,0.225,0,0.25,0,0.4,0,0,0.8,,1000,938,20,,6,Quenched (oil) & tempered – high-strength structural steel
327,AISI 4419H Steel,"Mock Carburized, 230C (450F) Temper, 14 mm (0.55 In.) Round",,8,,0,0,0.55,0,0,0,0.04,98.4,0,0.035,0.25,0,0.525,0,0.2,0,0,0,,710,425,24,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
328,AISI E4340 H Steel,"Oil Quenched 800C (1470F), 650C (1200F) Temper, 50 mm Round",,6,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,931,834,20,,6,Quenched (oil) & tempered – high-strength structural steel
329,AISI 4620 Steel,"Normalized, Machined To 13.7 mm Rounds, Pseudocarburized, Reheated To 775C (1430F), Quenched And Tempered",,0,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,910,738,14,,0,Carburized – quenched (oil) – wear-resistant surface steel
330,AISI E4340 Steel,"Oil Quenched 800C (1470F), 540C (1000F) Temper, 25 mm Round",,6,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1207,1145,14,,6,Quenched (oil) & tempered – high-strength structural steel
331,AISI E4340 H Steel,"Annealed, 25 mm Round",,3,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,745,470,22,,3,Normalized – easy-to-machine stock (cold drawn)
332,AISI E4340 H Steel,"Oil Quenched 800C (1470F), 540C (1000F) Temper, 50 mm (2 In.) Round",,6,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1172,1103,16,,6,Quenched (oil) & tempered – high-strength structural steel
333,AISI 4620 Steel,"Normalized, Machined To 13.7 mm Rounds, Pseudocarburized, Reheated To 925C (1700F), Quenched And Tempered",,0,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,1014,841,16,,0,Carburized – quenched (oil) – wear-resistant surface steel
334,AISI 4427 Steel,"Heat Treated In 13.7 mm Rounds, Reheated To 865C (1590F), 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.235,0,0.035,0.225,0,0.4,0,0.265,0,0,0,,1255,896,13,,0,Carburized – quenched (oil) – wear-resistant surface steel
335,AISI 4320 Steel,"Mock Carburized 925C (1700F) For 8 Hrs., Reheated To 815C (1500F), Oil Quenched, 150C (300F) Temper, 13 mm (0.5 In.) Round",,8,,0,0,0.55,0,1.825,0,0.04,96.38,0,0.035,0.225,0,0.25,0,0.195,0,0,0.5,,1460,1125,11,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
336,AISI 4620 Steel,"Mock Carburized, 230C (450F) Temper, 25 mm (1 In.) Round",,8,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,675,455,27,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
337,AISI E4340 H Steel,"Oil Quenched 845C, 650C (1200F) Temper",,6,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1005,938,20,,6,Quenched (oil) & tempered – high-strength structural steel
338,AISI 4620 Steel,"Annealed, 25 mm Round",,3,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,510,370,31,,3,Normalized – easy-to-machine stock (cold drawn)
339,AISI E4340 Steel,Annealed 810C (1490F),,7,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,745,475,22,,7,Annealed – easy-to-machine – round annealed stock
340,AISI 4620 Steel,"Normalized, Machined To 25 mm (1 In.) Rounds, Pseudocarburized, Reheated To 830C (1525F), Quenched And Tempered",,0,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,945,752,17,,0,Carburized – quenched (oil) – wear-resistant surface steel
341,AISI 4427 Steel,"Heat Treated In 25 mm Rounds, Reheated To 765C (1410F), 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.235,0,0.035,0.225,0,0.4,0,0.265,0,0,0,,951,560,17,,0,Carburized – quenched (oil) – wear-resistant surface steel
342,AISI 4620 Steel,"Mock Carburized, 230C (450F) Temper, 50 mm (2 In.) Round",,8,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,660,425,26,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
343,AISI 4620 Steel,"Mock Carburized, 150C (300F) Temper, 25 mm (1 In.) Round",,8,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,675,460,25,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
344,AISI 4320 Steel,"Mock Carburized 925C (1700F) For 8 Hrs., Reheated To 815C (1500F), Oil Quenched, 150C (300F) Temper, 100 mm (4 In.) Round",,8,,0,0,0.55,0,1.825,0,0.04,96.38,0,0.035,0.225,0,0.25,0,0.195,0,0,0.5,,827,515,24,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
345,AISI 4150H Steel,"Oil Quenched 830C (1525F), 650C (1200F) Temper, 50 mm (2 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.145,0,0.035,0.225,0,0.2,0,0.505,0,0,0.975,,931,814,20,,6,Quenched (oil) & tempered – high-strength structural steel
346,AISI E4340 H Steel,"Oil Quenched 855C (1570F), 230C (450F) Temper For 4 Hrs",,6,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1855,1550,12,,6,Quenched (oil) & tempered – high-strength structural steel
347,AISI 4620H Steel,"Normalized, Machined To 25 mm (1 In.) Rounds, Pseudocarburized, Reheated To 775C (1430F), Quenched And Tempered",,0,,0,0,0.55,0,1.775,0,0.04,96.9,0,0.035,0.25,0,0.25,0,0.2,0,0,0,,883,758,16,,0,Carburized – quenched (oil) – wear-resistant surface steel
348,AISI 4427 Steel,"Heat Treated In 13.7 mm Rounds, Oil Quenched, 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.235,0,0.035,0.225,0,0.4,0,0.265,0,0,0,,1434,903,11,,0,Carburized – quenched (oil) – wear-resistant surface steel
349,AISI 4620H Steel,"Normalized, 25 mm (1 In.) Round",,9,,0,0,0.55,0,1.775,0,0.04,96.9,0,0.035,0.25,0,0.25,0,0.2,0,0,0,,570,365,29,,9,Normalized – general-purpose steel (round normalized stock)
350,AISI E4340 H Steel,"Oil Quenched 800C (1470F), 650C (1200F) Temper, 13 mm (0.5 In.) Round",,6,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1000,938,20,,6,Quenched (oil) & tempered – high-strength structural steel
351,AISI 4150 Steel,"Oil Quenched 830C (1525F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.17,0,0.035,0.225,0,0.2,0,0.505,0,0,0.95,,1170,1076,14,,6,Quenched (oil) & tempered – high-strength structural steel
352,AISI E4340 H Steel,"Normalized, 13 mm (0.5 In.) Round",,9,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1448,972,12,,9,Normalized – general-purpose steel (round normalized stock)
353,AISI 4620 Steel,"Mock Carburized, 150C (300F) Temper, 100 mm (4 In.) Round",,8,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,585,360,29,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
354,AISI 4620H Steel,"Mock Carburized, 230C (450F) Temper, 25 mm (1 In.) Round",,8,,0,0,0.55,0,1.775,0,0.04,96.9,0,0.035,0.25,0,0.25,0,0.2,0,0,0,,675,455,27,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
355,AISI 4620H Steel,"Normalized, Machined To 25 mm (1 In.) Rounds, Pseudocarburized, Reheated To 830C (1525F), Quenched And Tempered",,0,,0,0,0.55,0,1.775,0,0.04,96.9,0,0.035,0.25,0,0.25,0,0.2,0,0,0,,945,752,17,,0,Carburized – quenched (oil) – wear-resistant surface steel
356,AISI 4422 Steel,"Heat Treated In 13.7 mm Rounds, Oil Quenched, 150C (300F) Temper",,0,,0,0,0.75,0,0,0,0.04,98.325,0,0.035,0.225,0,0.4,0,0.225,0,0,0,,965,670,14,,0,Carburized – quenched (oil) – wear-resistant surface steel
357,AISI 4620 Steel,"Mock Carburized, 230C (450F) Temper, 100 mm (4 In.) Round",,8,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,580,365,29,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
358,AISI 4620 Steel,"Single Quenched And Tempered, Carburized, Oil Quenched, 230C (450F) Temper",,5,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,796,557,20,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
359,AISI 4620H Steel,"Mock Carburized, 150C (300F) Temper, 25 mm (1 In.) Round",,8,,0,0,0.55,0,1.775,0,0.04,96.9,0,0.035,0.25,0,0.25,0,0.2,0,0,0,,675,460,25,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
360,AISI 4620H Steel,"Normalized, Machined To 13.7 mm Rounds, Pseudocarburized, Reheated To 800C (1470F), Quenched And Tempered",,0,,0,0,0.55,0,1.775,0,0.04,96.9,0,0.035,0.25,0,0.25,0,0.2,0,0,0,,958,786,16,,0,Carburized – quenched (oil) – wear-resistant surface steel
361,AISI 4320 Steel,"Normalized 895C (1640F), Air Cooled, 25 mm (1 In.) Round",,4,,0,0,0.55,0,1.825,0,0.04,96.38,0,0.035,0.225,0,0.25,0,0.195,0,0,0.5,,793,460,20,,4,Normalized (air cooled) – general-purpose steel
362,AISI 4620H Steel,"Normalized, 13 mm (0.5 In.) Round",,9,,0,0,0.55,0,1.775,0,0.04,96.9,0,0.035,0.25,0,0.25,0,0.2,0,0,0,,600,380,30,,9,Normalized – general-purpose steel (round normalized stock)
363,AISI 4620 Steel,"Normalized, 25 mm (1 In.) Round",,9,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,570,365,29,,9,Normalized – general-purpose steel (round normalized stock)
364,AISI 4427 Steel,"Heat Treated In 25 mm Rounds, Oil Quenched, 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.235,0,0.035,0.225,0,0.4,0,0.265,0,0,0,,1076,670,14,,0,Carburized – quenched (oil) – wear-resistant surface steel
365,AISI 4320H Steel,"Mock Carburized, Oil Quenched, 230C (450F) Temper, 13 mm (0.5 In.) Round",,8,,0,0,0.55,0,1.775,0,0.04,96.425,0,0.035,0.225,0,0.25,0,0.2,0,0,0.5,,1295,1035,13,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
366,AISI E4340 H Steel,"Oil Quenched 800C (1470F), 540C (1000F) Temper, 100 mm (4 In.) Round",,6,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1138,1000,15,,6,Quenched (oil) & tempered – high-strength structural steel
367,AISI 4620 Steel,"Single Quenched And Tempered, Carburized, Oil Quenched, 150C (300F) Temper",,5,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,822,576,19,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
368,AISI 4620H Steel,"Double Quenched And Tempered, Carburized, Oil Quenched, 230C (450F) Temper",,5,,0,0,0.55,0,1.775,0,0.04,96.9,0,0.035,0.25,0,0.25,0,0.2,0,0,0,,795,531,22,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
369,AISI 4620H Steel,"Normalized, Machined To 13.7 mm Rounds, Pseudocarburized, Reheated To 925C (1700F), Quenched And Tempered",,0,,0,0,0.55,0,1.775,0,0.04,96.9,0,0.035,0.25,0,0.25,0,0.2,0,0,0,,1014,841,16,,0,Carburized – quenched (oil) – wear-resistant surface steel
370,AISI 4340 Steel,"Oil Quenched 845C, 650C (1200F) Temper",,6,,0,0,0.7,0,1.825,0,0.04,95.725,0,0.035,0.225,0,0.25,0,0.4,0,0,0.8,,1005,938,20,,6,Quenched (oil) & tempered – high-strength structural steel
371,AISI E4340 H Steel,"Normalized, 50 mm (2 In.) Round",,9,,0,0,0.775,0,1.775,0,0.02,95.725,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1220,786,13,,9,Normalized – general-purpose steel (round normalized stock)
372,AISI 4620 Steel,"Normalized, 13 mm (0.5 In.) Round",,9,,0,0,0.55,0,1.825,0,0.04,96.855,0,0.035,0.25,0,0.25,0,0.195,0,0,0,,600,380,30,,9,Normalized – general-purpose steel (round normalized stock)
373,AISI E4340 Steel,"Oil Quenched 800C (1470F), 650C (1200F) Temper, 13 mm (0.5 In.) Round",,6,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1000,938,20,,6,Quenched (oil) & tempered – high-strength structural steel
374,AISI 4422 Steel,"Heat Treated In 13.7 mm Rounds, Reheated To 870C (1600F), 150C (300F) Temper",,0,,0,0,0.75,0,0,0,0.04,98.325,0,0.035,0.225,0,0.4,0,0.225,0,0,0,,896,640,17,,0,Carburized – quenched (oil) – wear-resistant surface steel
375,AISI 4419H Steel,"Mock Carburized, 150C (300F) Temper, 50 mm (2 In.) Round",,8,,0,0,0.55,0,0,0,0.04,98.4,0,0.035,0.25,0,0.525,0,0.2,0,0,0,,660,415,25,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
376,AISI 4427 Steel,"Heat Treated In 25 mm Rounds, Reheated To 805C (1480F), 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.235,0,0.035,0.225,0,0.4,0,0.265,0,0,0,,945,550,17,,0,Carburized – quenched (oil) – wear-resistant surface steel
377,AISI E4340 Steel,"Oil Quenched 845C, 425C (800F) Temper",,6,,0,0,0.75,0,1.825,0,0.02,95.7,0,0.025,0.225,0,0.25,0,0.405,0,0,0.8,,1595,1475,12,,6,Quenched (oil) & tempered – high-strength structural steel
378,AISI 4718H Steel,"Pseudocarburized, Reheated To 765C (1700F) And Oil Quenched, 150C (300F) Temper, 25 mm Round",,0,,0,0,0.775,0,1.05,0,0.04,96.89,0,0.04,0.225,0,0.35,0,0.18,0,0,0.45,,1096,601,14,,0,Carburized – quenched (oil) – wear-resistant surface steel
